name,website,place_id,city,state,status,phones,emails,services,raw_services,service_areas,trust_signals,socials,has_photo_gallery,has_contact_form,title,meta_description
American Epoxy Arizona,https://americanepoxyarizona.com,,Phoenix,AZ,ok,(520) 549-7772; (602) 688-9967,azepoxy@gmail.com,concrete_polish; countertops; metallic_epoxy; polyaspartic; residential,About American Epoxy Arizona; American Epoxy Arizona; Commercial Coatings; Contact UsAbout American Epoxy Arizona; Epoxy Flooring Phoenix Arizona; Epoxy Flooring Tucson Arizona; Flooring and Special Projects; Industrial Coatings; Residential Coatings; Standard Epoxy Gallery,"Phoenix, AZ; Tucson, AZ","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 25}","{""facebook"": ""https://www.facebook.com/americanepoxyarizona/"", ""instagram"": ""https://www.instagram.com/americaepoxyarizona"", ""linkedin"": ""https://www.linkedin.com/in/americaepoxyarizona"", ""tiktok"": ""https://www.tiktok.com/@americanepoxyarizona?_t=8o4iXxVG3Be&_r=1"", ""x"": ""https://x.com/EpoxyArizona""}",True,True,Epoxy Flooring Contractors - American Epoxy Arizona,"American Epoxy Arizona is an epoxy flooring contractor in Phoenix and Tucson Arizona, providing installation services, including removal of your current flooring systems with modern epoxy flooring designs. By Installing a high performance coating for your commercial, residential, and industrial prop"
Epoxy Strong,https://www.epoxystrong.com,,Phoenix,AZ,ok,(602) 620-6164,stacey@epoxystrong.com,commercial; concrete_polish; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; polyurea; residential,Commercial Epoxy Coatings; Commercial Epoxy Flooring; Concrete Coating; Concrete Service; Concrete Services; Concrete Staining & Sealing; Epoxy Colors; Epoxy Flake; Epoxy Floor Coatings In Ahwatukee; Flake Epoxy; Metallic Epoxy,"Hotel, ER","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 10}",{},True,True,Epoxy Flooring Phoenix | Commercial & Garage Floor Coating,Commercial & garage floor epoxy Phoenix. Specializing in industry & clean code compliant floor coatings. AZ's #1 commercial epoxy flooring Phoenix AZ.
First Class Coatings,https://epoxyaz.com,,Phoenix,AZ,unreachable,,,,,,{},{},False,False,,
Two Brothers Epoxy,https://twobrothersepoxy.com,,Phoenix,AZ,ok,(480) 714-5104,info@twobrothersepoxy.com%20; info@twobrothersepoxy.com,commercial; concrete_polish; epoxy_flake; polyaspartic; residential,"Commercial Epoxy Flooring; Garage Flooring; Peoria Epoxy, AZ; Residential Coatings","Avondale, AZ; Cave Creek, AZ; Chandler, AZ; Desert Ridge, AZ; Epoxy Flooring in Phoenix, AZ; Flooring Experts in Phoenix, AZ; Fountain Hills, AZ; Gilbert, AZ; Glendale, AZ; Gold Canyon, AZ; Goodyear, AZ; Litchfield Park, AZ; Maricopa, AZ; Mesa, AZ; New River, AZ; Paradise Valley, AZ; Peoria Epoxy, AZ; Phoenix, AZ; Prescott, AZ; Queen Creek, AZ; San Tan Valley, AZ; Scottsdale, AZ; Sedona, AZ; Sun City West, AZ; Surprise, AZ; Tempe, AZ; Tolleson, AZ; Two Brothers Epoxy Phoenix, AZ; Wickenburg, AZ","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/twobrothersepoxy"", ""instagram"": ""https://www.instagram.com/two.brothers.epoxy/"", ""linkedin"": ""https://www.linkedin.com/company/two-bros-epoxy-flooring/about/""}",True,True,Epoxy Flooring Phoenix | Garages & Commercial,"Phoenix’s trusted epoxy flooring company for garage and commercial concrete coatings. Fast installs, affordable pricing, and industry-leading durability."
Dialed In Epoxy Flooring,https://www.dialedinepoxy.com,,Phoenix,AZ,ok,(602) 820-7739,,commercial; concrete_polish; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; pool_deck; residential,Commercial Epoxy Floor; Commercial Epoxy Floors; Concrete Coatings; Concrete Stain; Concrete Staining; Epoxy Flake Flooring; Epoxy Flooring; Garage Flooring; Metallic Epoxy Floor; Metallic Epoxy Floors; Polished Concrete; Polyaspartic Garage Floors,"Phoenix, AZ; We are based in Phoenix, AZ","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/dialed_in_epoxy_systems/"", ""facebook"": ""https://www.facebook.com/dialedinepoxy/""}",True,True,Epoxy Flooring Phoenix Arizona | Dialed in Epoxy Flooring,Dialed In Epoxy Flooring are expert epoxy flooring Phoenix installers for metallic and epoxy floor coatings for residential and commercial settings.
Precision Garage Works,https://www.precisiongarageworks.com,,Phoenix,AZ,unreachable,,,,,,{},{},False,False,,
Local Epoxy Pros,https://localepoxypros.com,,Phoenix,AZ,ok,(623) 810-3401; (480) 688-1089,info@localepoxypros.com,commercial; concrete_polish; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; polyurea; pool_deck; residential,Commercial Flooring; Concrete Stains; Epoxy Flooring; Garage Flooring; Metallic Epoxy; Polished Concrete; Want a Free Epoxy Flooring Estimate?; info@localepoxypros.com,"Coatings Designed for Phoenix, AZ; Phoenix, AZ","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/localepoxypros/"", ""facebook"": ""https://www.facebook.com/localepoxypros""}",True,True,Garage Epoxy Flooring Phoenix AZ - Local Epoxy Pros,"Looking for a professional garage epoxy flooring phoenix az contractor? Well look no further, Local Epoxy Pros will assist you with further info."
Cardinal Concrete Coatings,https://www.cardinalconcretecoatings.com,,Phoenix,AZ,unreachable,,,,,,{},{},False,False,,
"Epoxy Floor Now, Inc.",https://www.epoxyfloornow.com/,ChIJIVsjS4n3wokRcpfh4JK_9P0,New York,NY,ok,(800) 708-9047,info@epoxyfloornow.com,,"Email:info@epoxyfloorNOW.com; Epoxy Floor Now, inc; © 2015 EpoxyFloorNow, All Rights Reserved","E. Edsall Blvd Palisades Park, NJ; E. Edsall Blvd. Palisades Park, NJ; NY, NJ","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""http://instagram.com/epoxyfloornow"", ""facebook"": ""http://www.facebook.com/epoxyfloornow""}",True,False,Epoxy Floor Coating | Concrete Floor Sealer - EpoxyFloorNow,"Epoxy floor coatings are strong, durable, easy to maintain and look amazing. Transform your floor today! Call our friendly team today for a no-hassle quote."
Epoxy Floor Systems Inc,https://epoxyfloorsystemsinc.com/,ChIJcSWyvHtb6IkRf1nivjgtlRw,New York,NY,unreachable,,,,,,{},{},False,False,,
Epoxy Flooring New York City,https://www.epoxyflooringnewyorkcity.com/,ChIJQSfhvsNFwokRntMUiHU5PiY,New York,NY,ok,(917) 597-7859; (516) 563-3371,,epoxy_flake,"COMMERCIALFLOOR COATING; INDUSTRIALFLOOR COATING; RESIDENTIALFLOOR COATING; Unleash Epoxy Magic for Resilient, Beautiful Floors; WHY CHOOSE EPOXY FLOORING NEW YORK CITY?","Bay Pkwy Brooklyn, NY","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 60}","{""facebook"": ""https://www.facebook.com/people/Epoxy-Flooring-New-York-City/61566344973222/""}",False,True,Epoxy Flooring New York City | Suffolk & Nassau County,Revamp your floors with durable epoxy finishes in NYC. Contact our experts for stunning results and exceptional service. Call the best today!
Epoxy Specialties LLC,http://www.epoxyspecialties.com/,ChIJ8S9UL02fwYkRPW6t9tws8HU,New York,NY,ok,(732) 523-0049,epoxyspecialties@gmail.com%20; epoxyspecialties@gmail.com,concrete_polish; countertops; epoxy_flake; epoxy_solid; metallic_epoxy,Concrete Densifying; Concrete Overlays; Epoxy Countertops; Epoxyspecialties@gmail.com; Flooring That Meets Your Need; Hard-wood flooring made easy; Polished Concrete; TRANSFORMING YOUR FLOORS 1 DAY AT A TIME; Why Choose Epoxy Floors?,"Crown Avenue Staten Island, NY; NY, NJ","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 5}","{""facebook"": ""https://www.facebook.com/epoxy.specialties"", ""instagram"": ""https://www.instagram.com/epoxy_specialties/"", ""tiktok"": ""https://www.tiktok.com/@epoxyspecialties?_t=8UOlG7nOpIM&_r=1""}",True,True,Home - Epoxy Specialties,
Munoz Epoxy Flooring,http://munozepoxyflooringllc.com/,ChIJhevqRUr3wokRmTEWpwakRqk,New York,NY,ok,(718) 813-4127,,concrete_polish; concrete_stain; residential,Concrete Polishing; Concrete Sealers; Concrete Staining; Epoxy Coatings; Floor Preparation; Munoz Epoxy Flooring; Transforming floors with expertise in New York; Urethane Coatings,,"{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 2}",{},False,False,Munoz Epoxy Flooring: Flooring Service in New York,"Munoz Epoxy Flooring provides professional flooring services including floor preparation, self leveling, diamond grinding, concrete staining, and more in New York. Contact us for high-quality epoxy coatings and concrete polishing."
Floor Coatings by A.G. Williams,http://agwfloors.com/,ChIJLSSs28uNwokRr7Te8ku23h8,New York,NY,unreachable,,,,,,{},{},False,False,,
ATK Epoxy Floors,https://atkepoxyfloors.com/,ChIJd7fMQuxOwokRxTYIx6CAlK4,New York,NY,ok,(718) 987-7081,,commercial,Flooring; FlooringGaragesBasementsCommercialResidential; Why Epoxy Flooring,,"{""licensed"": true, ""insured"": true, ""warranty"": false, ""family_owned"": true, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 25}","{""facebook"": ""https://www.facebook.com/profile.php?id=100066878466842"", ""instagram"": ""https://www.instagram.com/atkepoxyfloors/""}",True,True,ATK Epoxy Floors,"ATK Epoxy Floors brings over 25 years of industry experience and expertise to every project. As a second-generation family owned and operated business, we take pride in delivering superior-quality epoxy flooring solutions."
PEC FLOORS,http://www.pecfloors.com/,ChIJIxd-yExZwokR30s245qPEVc,New York,NY,ok,(820) 202-8882; (848) 202-8882,pecfloors@gmail.com,concrete_polish; epoxy_flake; metallic_epoxy,An Affordable Floor Company InNY & NJ; Concrete Floor Polishing; Concrete Floor Polishing Brooklyn; Concrete Floor Polishing Long Island; Concrete Floor Polishing New Jersey; Concrete Flooring/Polishing; Concrete Grinding; Concrete Grinding & Sealing Brooklyn; Concrete Grinding Sealing Long Island; Concrete Grinding Sealing Manhattan; Concrete Grinding Sealing New Jersey; Concrete Grinding Sealing Queens; Concrete Polishing Manhattan; Concrete Polishing Queens; Epoxy Floor Coating; Epoxy Flooring Brooklyn; Epoxy Flooring Long Island; Epoxy Flooring NYC; Epoxy Flooring New Jersey; Epoxy Flooring Queens; Epoxy Projects; Floor Inspection; Get FantasticEpoxyFlooring; HOW TOHow to install Epoxy Flake; How To Install Epoxy Flake; How to install Epoxy Flake; Make Floors More Appealing WithEpoxyFloor Coating; PEC FLOORS; Polished Concrete Projects; START FLOOR POLISHING; Self Leveling Concrete; Self Leveling Concrete Brooklyn; Self Leveling Concrete Long Island; Self Leveling Concrete Manhattan; Self Leveling Concrete New Jersey; Self Leveling Concrete Queens; Stylish Flooring Solutions; Terrazzo Floors; Terrazzo Floors Brooklyn; Terrazzo Floors Long Island; Terrazzo Floors Manhattan; Terrazzo Floors New Jersey; Terrazzo Floors Queens; Why Hire PEC Floor For YourConcreteFloor Polishing?; WhyConcrete Floor Polishingis the Perfect Choice?; pecfloors@gmail.com,"Brooklyn, NY; Englewood, NJ; Like  me . Adam, NJ; New York, NY","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 30}","{""facebook"": ""https://www.facebook.com/PEC-Floors-103693687991490/"", ""instagram"": ""https://www.instagram.com/pecfloors/"", ""linkedin"": ""https://www.linkedin.com/company/pec-floors/""}",True,False,Epoxy Coating Contractors in NY & NJ | Concrete Floor Polishing | PEC Floors,Lasting Floor Solutions for your NY & NJ property with PEC Floors. Epoxy Coating | Concrete Floor Polishing | Self Leveling. Call (848) 202-8882 today.
Creative Epoxy Floor Systems,http://www.e-poxycreativefloors.com/,ChIJ-YNIlk7_wokRnUz4JrDOZCA,New York,NY,ok,(973) 826-0729,,epoxy_flake; polyaspartic; polyurea,Floor systems; Request the FLAKE FLOOR SYSTEM,,"{""licensed"": false, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 15}","{""facebook"": ""https://www.facebook.com/people/Creative-Epoxy-Floor-Systems/100063816300012/"", ""instagram"": ""https://www.instagram.com/creative_epoxy_floor_systems/""}",False,True,EPOXY - POLYASPARTIC FLOOR SYSTEMS,"Epoxy flooring  &  Polyaspartic coatings 
for concrete, wooden, tile surfaces. 
Residential, commercial & industrial use. In New Jersey, NY, CT"
EPOXYFI NEW YORK HOME IMPROVEMENT LLC,https://www.epoxyfi.com/,ChIJZ3kDUfVxaQoRmJrMBw959PA,New York,NY,ok,(646) 220-8298,,commercial; concrete_polish; residential,Basement Floor Coating; Commercial Epoxy Flooring; Decorative Concrete Overlays; Epoxyfi; Garage Floor Epoxy Coating; Get In Touch Today for Professional Epoxy Flooring Services; Marble Floor Restoration; Polished Concrete Floors; Terrazzo Floor Restoration,"Brooklyn, NY; Elizabeth, NJ; Jersey City, NJ; Long Island, NY; Newark, NJ; Queens, NY; Service Areas New York City, NY; Staten Island, NY; The Bronx, NY; Us Service Areas New York City, NY; Westchester, NY; Yonkers, NY","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/epoxyfi_ny?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==""}",True,False,"Epoxy Flooring NYC & NJ | Garage, Basement & Commercial Floors","Premium epoxy flooring contractor serving NYC and New Jersey. Durable garage, basement, and commercial floor coatings with modern finishes."
"Atlantic Concrete Design Epoxy Flooring, Polished Concrete & Self Leveling",https://atlanticconcretedesign.com/,ChIJkY4yuzVXwokRSaVU4M5nfuY,New York,NY,unreachable,,,,,,{},{},False,False,,
Epoxy Coating USA,,ChIJlShKJDlZwokRXx3X_6RwhsU,New York,NY,no_website,,,,,,{},{},False,False,,
